Country,City,AQI_value,AQI_category,CO_AQI_value,CO_AQI_category,Ozone_AQI_value,Ozone_AQI_category,NO2_AQI_value,NO2_AQI_category,PM2_5_AQI_value,PM2_5_AQI_category,latitude,longitude,Description
Netherlands,Ommen,32,Good,0,Good,32,Good,1,Good,28,Good,52.5167,6.4167,"""Ommen is a municipality and a Hanseatic city in the eastern Netherlands. It is located in the Vecht valley of the Salland region in Overijssel. Historical records first name Ommen in the early 12th century and it was officially founded as a city in 1248. The municipality had a population of 18,295 in 2021 and covers an area of 182.01 km2 (70.27 sq mi)."""
Philippines,Oroquieta,93,Moderate,1,Good,18,Good,0,Good,93,Moderate,8.4833,123.8,"""Oroquieta, officially the City of Oroquieta, is a component city and capital of the province of Misamis Occidental, Philippines. According to the 2020 census, it has a population of 72,301 people."""
United States of America,Oskaloosa,65,Moderate,2,Good,20,Good,8,Good,65,Moderate,41.2922,-92.6404,"""No description provided"""
Chile,Osorno,67,Moderate,2,Good,3,Good,10,Good,67,Moderate,-40.5725,-73.1353,"""No description provided"""
Brazil,Ouro Fino,22,Good,0,Good,22,Good,0,Good,11,Good,-22.2828,-46.3689,"""Ouro Fino is a city situated in the state of Minas Gerais in the Southeastern Region of Brazil."""
United States of America,Owings Mills,53,Moderate,1,Good,32,Good,5,Good,53,Moderate,39.4115,-76.7913,"""Owings Mills is an unincorporated community and census-designated place in Baltimore County, Maryland, United States. It is a suburb of Baltimore. Per the 2020 census, the population was 35,674. Owings Mills is home to the northern terminus of the Baltimore Metro Subway, and housed the Owings Mills Mall until its closure in 2015. It is also home to the Baltimore Ravens' headquarters facility, and the studios for Maryland Public Television. In 2008, CNNMoney.com named Owings Mills number 49 of the '100 Best Places to Live and Launch'."""
Brazil,Pacatuba,31,Good,0,Good,20,Good,1,Good,31,Good,-3.9839,-38.62,"""No description provided"""
Mexico,Pachuca,142,Unhealthy for Sensitive Groups,2,Good,14,Good,6,Good,142,Unhealthy for Sensitive Groups,20.1,-98.75,"""Pachuca, formally known as Pachuca de Soto, is the capital and largest city of the east-central Mexican state of Hidalgo, located in the south-central part of the state. Pachuca de Soto is also the name of the municipality for which the city serves as municipal seat. Pachuca is located about 90 kilometres (56 mi) north of Mexico City via Mexican Federal Highway 85."""
Chile,Paine,194,Unhealthy,12,Good,0,Good,19,Good,194,Unhealthy,-33.8167,-70.75,"""No description provided"""
United States of America,Palatine,80,Moderate,3,Good,7,Good,25,Good,80,Moderate,42.118,-88.043,"""A palatine or palatinus is a high-level official attached to imperial or royal courts in Europe since Roman times. The term palatinus was first used in Ancient Rome for chamberlains of the Emperor due to their association with the Palatine Hill. The imperial palace guard, after the rise of Constantine I, were also called the Scholae Palatinae for the same reason. In the Early Middle Ages the title became attached to courts beyond the imperial one; one of the highest level of officials in the papal administration were called the judices palatini. Later the Merovingian and Carolingian dynasties had counts palatine, as did the Holy Roman Empire. Related titles were used in Hungary, Poland, Lithuania, the German Empire, and the County of Burgundy, while England, Ireland, and parts of British North America referred to rulers of counties palatine as palatines."""
United States of America,Panama City,54,Moderate,1,Good,21,Good,4,Good,54,Moderate,8.9833,-79.5167,"""Panama City, also known as Panama, is the capital and largest city of Panama. It has a total population of 1,086,990, with over 2,100,000 in its metropolitan area. The city is located at the Pacific entrance of the Panama Canal, in the province of Panama. The city is the political and administrative center of the country, as well as a hub for banking and commerce."""
United States of America,Weston,50,Good,1,Good,36,Good,3,Good,50,Good,26.1006,-80.4054,"""No description provided"""
United States of America,Winter Park,52,Moderate,1,Good,21,Good,12,Good,52,Moderate,28.5989,-81.3442,"""No description provided"""
Switzerland,Winterthur,43,Good,1,Good,25,Good,2,Good,43,Good,47.4989,8.7286,"""Winterthur is a city in the canton of Zurich in northern Switzerland. With over 120,000 residents, it is the country's sixth-largest city by population, as well as its ninth-largest agglomeration with about 140,000 inhabitants. Located about 20 kilometres (12 mi) northeast of Zurich, Winterthur is a service and high-tech industrial satellite city within Zurich Metropolitan Area."""
Poland,Wolsztyn,31,Good,1,Good,27,Good,1,Good,31,Good,52.1167,16.1167,"""Wolsztyn is a town in western Poland, on the western edge of Greater Poland Voivodeship. It is the seat of Wolsztyn County, and of the smaller administrative district of Gmina Wolsztyn."""
