Country,City,AQI_value,AQI_category,CO_AQI_value,CO_AQI_category,Ozone_AQI_value,Ozone_AQI_category,NO2_AQI_value,NO2_AQI_category,PM2_5_AQI_value,PM2_5_AQI_category,latitude,longitude,Description
United States of America,Martinez,51,Moderate,1,Good,22,Good,10,Good,51,Moderate,37.9985,-122.1161,"""No description provided"""
Mexico,Matehuala,29,Good,1,Good,19,Good,0,Good,29,Good,23.6528,-100.6444,"""Matehuala is a city in the Mexican state of San Luis Potosí, situated at an elevation of about 1,500 m. Matehuala is also the municipal seat of the municipality of the same name, located in the northern part of the state, on the border with the southwestern corner of Nuevo León. The municipality of Matehuala has a population of 102,199, and an area of 1,302 km2 (503 sq mi)."""
Myanmar,Meiktila,31,Good,1,Good,27,Good,0,Good,31,Good,20.8833,95.8833,"""Meiktila is a city in central Burma on the banks of Meiktila Lake in the Mandalay Region at the junctions of the Bagan-Taunggyi, Yangon-Mandalay and Meiktila-Myingyan highways. Because of its strategic position, Meiktila is home to Myanmar Air Force's central command and Meiktila Air Force Base. The country's main aerospace engineering university, Myanmar Aerospace Engineering University is also located in Meiktila. As of 2021, the city had a population of 177,442."""
Germany,Marktoberdorf,76,Moderate,1,Good,32,Good,3,Good,76,Moderate,47.7667,10.6167,"""Marktoberdorf is the capital of the Bavarian district of Ostallgäu in the Regierungsbezirk of Swabia."""
Germany,Melsungen,46,Good,1,Good,26,Good,3,Good,46,Good,51.1333,9.55,"""Melsungen is a small climatic spa town in the Schwalm-Eder district in northern Hesse, Germany. In 1987, the town hosted the 27th Hessentag state festival."""
Germany,Mering,64,Moderate,1,Good,34,Good,1,Good,64,Moderate,48.2625,10.9844,"""Mering is a municipality in the district Aichach-Friedberg, in Bavaria, Germany. It is located on the river Paar."""
Mozambique,Mocuba,23,Good,0,Good,23,Good,0,Good,19,Good,-16.85,36.9833,"""Mocuba is a city and seat of Mocuba District of Zambezia Province in Mozambique. It is located on the Licungo River."""
Brazil,Montenegro,71,Moderate,2,Good,7,Good,7,Good,71,Moderate,-29.6889,-51.4608,"""Montenegro is a country in Southeastern Europe, on the Balkan Peninsula. Its 25 municipalities have a total population of 633,158 people in an area of 13,883 km2. It is bordered by Bosnia and Herzegovina to the northwest, Serbia to the northeast, Kosovo to the east, Albania to the southeast, Croatia to the west, and has a coastline along the Adriatic Sea to the southwest. The capital and largest city is Podgorica, while Cetinje is the Old Royal Capital and cultural centre."""
Australia,Murray Bridge,31,Good,0,Good,28,Good,0,Good,31,Good,-35.117,139.267,"""No description provided"""
Ecuador,Naranjal,39,Good,1,Good,16,Good,3,Good,39,Good,-2.6728,-79.615,"""No description provided"""
Botswana,Kanye,59,Moderate,1,Good,20,Good,1,Good,59,Moderate,-24.9833,25.35,"""Ye, born Kanye Omari West, is an American rapper and record producer. One of the most prominent figures in hip-hop, he is known for his varying musical style and polarizing cultural and political commentary. After dropping out of college to pursue a career in music, West began producing for regional artists in the Chicago area. As an in-house producer for Roc-A-Fella Records, he co-produced albums including Jay-Z's The Blueprint (2001) before signing with the label as a recording artist. West's debut studio album, The College Dropout (2004), was met with critical acclaim and yielded the Billboard Hot 100-number one single 'Slow Jamz'. He peaked the chart on four other occasions with the singles 'Gold Digger' (2005), 'Stronger' (2007), 'E.T.', and 'Carnival' (2024)."""
India,Keshod,160,Unhealthy,0,Good,25,Good,0,Good,160,Unhealthy,21.3,70.25,"""Keshod is a town and a Taluka in Junagadh District."""
India,Kharar,142,Unhealthy for Sensitive Groups,2,Good,142,Unhealthy for Sensitive Groups,1,Good,119,Unhealthy for Sensitive Groups,30.74,76.65,"""No description provided"""
United States of America,North Plainfield,66,Moderate,2,Good,15,Good,20,Good,66,Moderate,40.6209,-74.4386,"""North Plainfield is a borough in Somerset County, in the U.S. state of New Jersey. It is located within the Raritan Valley region. As of the 2020 United States census, the borough's population was 22,808, an increase of 872 (+4.0%) from the 2010 census count of 21,936, which in turn reflected an increase of 833 (+3.9%) from the 21,103 counted in the 2000 census."""
United States of America,North Wantagh,60,Moderate,2,Good,19,Good,18,Good,60,Moderate,40.6983,-73.5086,"""North Wantagh is a hamlet and census-designated place in the Town of Hempstead in Nassau County, on the South Shore of Long Island, in New York, United States. The population was 11,931 at the time of the 2020 census."""
United States of America,Mercer Island,56,Moderate,2,Good,18,Good,15,Good,56,Moderate,47.5661,-122.232,"""Mercer Island is a city in King County, Washington, United States, located on an island of the same name in the southern portion of Lake Washington. Mercer Island is in the Seattle metropolitan area, with Seattle to its west and Bellevue to its east."""
Germany,Hilpoltstein,28,Good,0,Good,28,Good,1,Good,27,Good,49.1833,11.1833,"""Hilpoltstein is a town in the district of Roth, in Bavaria, Germany. It is situated 10 km southeast of Roth bei Nürnberg and 30 km south of Nuremberg, close to the lake 'Rothsee."""
Australia,Hobart,48,Good,0,Good,24,Good,1,Good,48,Good,-42.8806,147.325,"""Hobart is the capital and most populous city of the island state of Tasmania, Australia. Located in Tasmania's south-east on the estuary of the River Derwent, it is the southernmost capital city in Australia. Despite containing nearly half of Tasmania's population, Hobart is the least-populated Australian state capital city, and second-smallest by population and area after Darwin if territories are taken into account. Its skyline is dominated by the 1,271-metre (4,170 ft) kunanyi / Mount Wellington, and its harbour forms the second-deepest natural port in the world, with much of the city's waterfront consisting of reclaimed land. The metropolitan area is often referred to as Greater Hobart, to differentiate it from the City of Hobart, one of the seven local government areas that cover the city. It has a mild maritime climate."""
United States of America,Holtsville,82,Moderate,2,Good,42,Good,10,Good,82,Moderate,40.8124,-73.0447,"""Holtsville is a hamlet and census-designated place (CDP) in Suffolk County, on Long Island, in New York, United States. The population was 19,714 at the 2010 census."""
Australia,Innisfail,26,Good,0,Good,25,Good,0,Good,26,Good,-17.5238,146.0311,"""No description provided"""
Central African Republic,Ippy,69,Moderate,2,Good,8,Good,0,Good,69,Moderate,6.25,21.2,"""Ippy is a town located in the Central African Republic prefecture of Ouaka, near the geographic center of the country. It is 364 kilometers from the city of Bangui directly. Driving distance, however, is 496 kilometers."""
United States of America,Irmo,68,Moderate,1,Good,23,Good,4,Good,68,Moderate,34.1018,-81.1956,"""No description provided"""
Belgium,Grobbendonk,38,Good,1,Good,30,Good,3,Good,38,Good,51.2,4.7167,"""Grobbendonk is a municipality located in the Belgian province of Antwerp. The municipality comprises the towns of Bouwel and Grobbendonk proper. In 2021, Grobbendonk had a total population of 11,249. The total area is 28.36 km2."""
Russian Federation,Gryazovets,34,Good,1,Good,34,Good,0,Good,8,Good,58.8833,40.25,"""Gryazovets is a town and the administrative center of Gryazovetsky District in Vologda Oblast, Russia, located on the Rzhavka River, 47 kilometers (29 mi) south of Vologda, the administrative center of the oblast. Population: 15,528 (2010 Census); 16,172 (2002 Census); 16,424 (1989 Soviet census)."""
France,Guebwiller,32,Good,1,Good,31,Good,1,Good,32,Good,47.9075,7.2103,"""Guebwiller is a commune in the Haut-Rhin département in Grand Est in north-eastern France. It was a sub-prefecture of the department until 2015."""
Germany,Haigerloch,30,Good,0,Good,30,Good,1,Good,28,Good,48.3647,8.805,"""Haigerloch is a town in the north-western part of the Swabian Alb in Germany."""
United Kingdom of Great Britain and Northern Ireland,Havant,41,Good,0,Good,27,Good,3,Good,41,Good,50.8517,-0.9842,"""Havant is a town in the south-east corner of Hampshire, England. Nearby places include Portsmouth to the south-west, Southampton to the west, Waterlooville to north, Chichester to the east and Hayling Island to the south. The wider borough comprises the town (45,826), the resort of Hayling Island, the town of Waterlooville, and the town of Emsworth. Housing and population more than doubled in the 20 years following World War II, a period of major conversion of land from agriculture and woodland to housing across the region following the incendiary bombing of Portsmouth and the Blitz."""
United States of America,Haverhill,52,Moderate,1,Good,45,Good,3,Good,52,Moderate,52.08,0.44,"""Haverhill is the name of different places around the world:"""
United States of America,Herndon,59,Moderate,1,Good,41,Good,5,Good,59,Moderate,38.9699,-77.3867,"""No description provided"""
United States of America,Hickory,68,Moderate,2,Good,18,Good,11,Good,68,Moderate,35.741,-81.3223,"""Hickory is a common name for trees composing the genus Carya, which includes 19 species accepted by Plants of the World Online."""
Uruguay,Pando,34,Good,0,Good,20,Good,1,Good,34,Good,-34.7167,-55.9583,"""No description provided"""
Russian Federation,Chusovoy,37,Good,1,Good,27,Good,0,Good,37,Good,58.3167,57.8167,"""Chusovoy is a town in Perm Krai, Russia, located at the confluence of the Usva and Vilva Rivers with the Chusovaya River, 140 kilometers (87 mi) east of Perm, the administrative center of the krai. Population: 46,735 (2010 Census); 51,615 (2002 Census); 57,874 (1989 Soviet census)."""
Bolivia (Plurinational State of),Cochabamba,32,Good,1,Good,2,Good,2,Good,32,Good,-17.3833,-66.1667,"""Cochabamba is a city and municipality in central Bolivia in a valley in the Andes mountain range. It is the capital of the Cochabamba Department and the fourth largest city in Bolivia, with a population of 630,587 according to the 2012 Bolivian census. Its name is from a compound of the Quechua words qucha 'lake' and pampa, 'open plain.' Residents of the city and the surrounding areas are commonly referred to as cochalas or, more formally, cochabambinos."""
Romania,Comarnic,38,Good,1,Good,38,Good,0,Good,10,Good,45.2511,25.6353,"""Comarnic is a town in Prahova County, Muntenia, Romania, with a population of 11,106 as of 2021. Four villages are administered by the town: Ghioșești, Podu Lung, Poiana, and Posada."""
Italy,Corciano,62,Moderate,1,Good,45,Good,2,Good,62,Moderate,43.1333,12.2833,"""Corciano is a comune (municipality) in the Province of Perugia in the Italian region Umbria, located about 8 km west of Perugia. As of 31 December 2004, it had a population of 17,008 and an area of 63.7 km2. Corciano borders the comuni of Magione and Perugia. It is one of I Borghi più belli d'Italia."""
Hungary,Dabas,86,Moderate,1,Good,37,Good,3,Good,86,Moderate,47.189,19.3126,"""No description provided"""
United States of America,Bedford Heights,36,Good,2,Good,36,Good,4,Good,33,Good,41.4041,-81.5053,"""Bedford Heights is a city in Cuyahoga County, Ohio, United States. The population was 11,020 at the 2020 census. A suburb of Cleveland, it is a part of the Cleveland metropolitan area."""
United States of America,Bemidji,50,Good,1,Good,38,Good,1,Good,50,Good,47.4828,-94.8797,"""Bemidji is a city and the county seat of Beltrami County, in northern Minnesota, United States. The population was 14,574 at the 2020 census. According to 2022 census estimates, the city is estimated to have a population of 15,946, making it the largest commercial center between Grand Forks, North Dakota and Duluth."""
Ukraine,Beryslav,38,Good,1,Good,38,Good,0,Good,24,Good,46.8333,33.4167,"""Beryslav is a city in Kherson Oblast, southern Ukraine. It serves as the administrative center of Beryslav Raion, housing the district's local administration buildings. Beryslav hosts the administration of Beryslav urban hromada, one of the hromadas of Ukraine. Population: 11,895."""
India,Bhuj,155,Unhealthy,0,Good,28,Good,0,Good,155,Unhealthy,23.25,69.67,"""Bhuj is a city and the headquarters of Kutch district in the Indian state of Gujarat."""
Democratic Republic of the Congo,Boende,72,Moderate,3,Good,9,Good,0,Good,72,Moderate,-0.281,20.876,"""Boende is a city and capital of Tshuapa Province, lying on the Tshuapa River, in the Democratic Republic of Congo. It is a river port with riverboats sailing to Kinshasa via Mbandaka and is also home to an airport. As of 2009, it had an estimated population of 36,158. The national language used locally is Lingala."""
Brazil,Campos Sales,15,Good,0,Good,15,Good,0,Good,15,Good,-7.0739,-40.3758,"""Manoel Ferraz de Campos Salles was a Brazilian lawyer, coffee farmer, and politician who served as the fourth president of Brazil. He was born in the city of Campinas, São Paulo. He graduated as a lawyer from the Faculdade de Direito do Largo de São Francisco, São Paulo, in 1863. He served as a provincial deputy three times, general deputy once, and also as minister of justice (1889–1891), senator and governor of São Paulo (1896–1897). The pinnacle of his political career was his election as president of Brazil, an office he held between 1898 and 1902. Austere financial reforms were adopted during his tenure under Minister of Finance Joaquim Murtinho."""
Spain,Cangas,30,Good,1,Good,30,Good,2,Good,25,Good,42.2642,-8.7819,"""No description provided"""
France,Castelnaudary,31,Good,1,Good,31,Good,1,Good,20,Good,43.3181,1.9539,"""Castelnaudary is a commune in the Aude department in the Occitanie region of southern France. It is located in the former province of the Lauragais and famous for cassoulet of which it claims to be the world capital, and of which it is a major producer."""
Australia,Bairnsdale,26,Good,0,Good,26,Good,0,Good,8,Good,-37.8333,147.6167,"""Bairnsdale is a city in East Gippsland, Victoria, Australia, situated in a region traditionally inhabited by the Tatungalung clan of the Gunaikurnai people. The estimated population of the Bairnsdale urban area was 17,666 at June 2023. The city serves as a major regional centre of eastern Victoria, alongside Traralgon and Sale, acting as the commercial hub for the East Gippsland region and the seat of local government for the Shire of East Gippsland. Bairnsdale was first proclaimed as a shire on 16 July 1868 and later elevated to city status on 14 July 1990."""
Germany,Bamberg,56,Moderate,1,Good,43,Good,2,Good,56,Moderate,49.8914,10.8869,"""Bamberg is a town in Upper Franconia district in Bavaria, Germany, on the river Regnitz close to its confluence with the river Main. Bamberg had 79,000 inhabitants in 2022. The town dates back to the 9th century, when its name was derived from the nearby Babenberch castle. Cited as one of Germany's most beautiful towns, with medieval streets and buildings, the old town of Bamberg with around 2,400 timber houses has been a UNESCO World Heritage Site since 1993."""
United Kingdom of Great Britain and Northern Ireland,Broxburn,38,Good,1,Good,20,Good,6,Good,38,Good,55.934,-3.471,"""Broxburn is a town in West Lothian, Scotland. It is 12 miles (19 km) from the West End of Edinburgh, 5 miles (8.0 km) from Edinburgh Airport and 5 miles (8.0 km) to the north of Livingston. Originally a village known as Easter Strathbock in the medieval period, by 1600, the village had become known as Broxburn. The area developed rapidly during the Victorian era as a result of industrialisation related to shale oil extraction. While much of the industry in the area is now diminished, the town has continued to grow following new residential development, resulting in Broxburn forming a conurbation with neighbouring Uphall. It lies just to the south of Winchburgh."""
Italy,Brusciano,65,Moderate,1,Good,65,Moderate,2,Good,55,Moderate,40.9167,14.4167,"""Brusciano is a municipality in the Metropolitan City of Naples, in Italy, on the slopes of Mount Vesuvius. Situated inland north-east of Naples, 10 miles from center city, the ancient village of rural vocation has developed along the way National Puglia, in the stretch that connects the east of the capital and Pomigliano d'Arco and Nola."""
Venezuela (Bolivarian Republic of),Cabimas,87,Moderate,1,Good,20,Good,4,Good,87,Moderate,10.4,-71.4333,"""Cabimas is a city on the shore of Maracaibo Lake in Zulia State in northwestern Venezuela. In 2005, its population was around 200,859."""
United States of America,Calexico,33,Good,1,Good,28,Good,6,Good,33,Good,32.6849,-115.4944,"""Calexico is a city in southern Imperial County, California. Situated on the Mexican border, it is linked economically with the much larger city of Mexicali, the capital of the Mexican state of Baja California. It is about 122 miles (196 km) east of San Diego and 62 miles (100 km) west of Yuma, Arizona. Calexico, along with six other incorporated Imperial County cities, forms part of the larger populated area known as the Imperial Valley. First explored by Europeans in the 18th century, Calexico began as a small tent community which was ultimately incorporated in 1908."""
India,Panaji,33,Good,1,Good,32,Good,0,Good,33,Good,15.4989,73.8278,"""Panaji, also known as Panjim, is the capital of the Indian state of Goa and the headquarters of North Goa district. Previously, it was the territorial capital of the former Portuguese India. It lies on the banks of the Mandovi river estuary in the Tiswadi sub-district (taluka). With a population of 114,759 in the metropolitan area, Panaji is Goa's largest urban agglomeration, ahead of Margao and Mormugao."""
Poland,Pleszew,48,Good,1,Good,34,Good,2,Good,48,Good,51.8833,17.7833,"""Pleszew is a town in central Poland, in Greater Poland Voivodeship, about 90 km southeast of Poznań. It is the capital of Pleszew County. The town's population is 16,811 (2022). The town is claimed to be a 15-minute city."""
United Kingdom of Great Britain and Northern Ireland,Pontefract,33,Good,1,Good,33,Good,4,Good,16,Good,53.691,-1.312,"""Pontefract is a historic market town in the City of Wakefield, a metropolitan district in West Yorkshire, England. It lies to the east of Wakefield and south of Castleford. Historically part of the West Riding of Yorkshire, it is one of the towns in the City of Wakefield district and had a population of 30,881 at the 2011 Census."""
Senegal,Pout,184,Unhealthy,2,Good,18,Good,4,Good,184,Unhealthy,14.7739,-17.0603,"""No description provided"""
Romania,Pucioasa,45,Good,1,Good,41,Good,0,Good,45,Good,45.0742,25.4342,"""Pucioasa is a town in Dâmbovița County, Muntenia, Romania. It administers six villages: Bela, Diaconești, Glodeni, Malurile, Miculești, and Pucioasa-Sat."""
Israel,Qiryat Shemona,113,Unhealthy for Sensitive Groups,3,Good,80,Moderate,5,Good,113,Unhealthy for Sensitive Groups,33.2075,35.5697,"""Kiryat Shmona is a city in the Northern District of Israel on the western slopes of the Hula Valley near the Lebanese border. The city was named after the eight people, including Joseph Trumpeldor, who died in 1920 in the Battle of Tel Hai."""
Thailand,Rayong,53,Moderate,0,Good,15,Good,3,Good,53,Moderate,12.6742,101.2789,"""Rayong is a city on the east coast of the Gulf of Thailand and the capital of Rayong province. It covers tambons Tha Pradu and Pak Nam and parts of tambons Choeng Noen and Noen Phra, all within Mueang Rayong district. As of 2016 the population was 64,256 (est.). The main industry is fishing, and it is also the main producer of Thailand's fish sauce. It is also the center of the chemical and auto industries. In 2012 Ford Motor Company opened an assembly plant in Rayong to expand Ford's presence in the ASEAN area, employing some 2,200 people."""
United States of America,Reedley,56,Moderate,1,Good,30,Good,5,Good,56,Moderate,36.5988,-119.4471,"""No description provided"""
Germany,Siegburg,47,Good,1,Good,35,Good,2,Good,47,Good,50.8014,7.2044,"""Siegburg is a city in the district of Rhein-Sieg-Kreis in North Rhine-Westphalia, Germany. It is located on the banks of the rivers Sieg and Agger, 10 kilometres (6.2 mi) from the former seat of West German government Bonn and 26 kilometres (16 mi) from Cologne. The population of the city was 39,192 in the 2013 census."""
Sudan,Sinnar,57,Moderate,1,Good,16,Good,0,Good,57,Moderate,19.85,74.0,"""Sinnar is a city and a municipal council in Sinnar taluka of Nashik district in the Indian state of Maharashtra. Sinnar is the third largest city in Nashik district after Nashik and Malegaon."""
Serbia,Smederevo,65,Moderate,1,Good,38,Good,2,Good,65,Moderate,44.6633,20.9289,"""Smederevo is a city and the administrative center of the Podunavlje District in eastern Serbia. It is situated on the right bank of the Danube, about 45 kilometres downstream of the Serbian capital, Belgrade."""
United Kingdom of Great Britain and Northern Ireland,Prestwich,62,Moderate,1,Good,15,Good,11,Good,62,Moderate,53.5333,-2.2833,"""Prestwich is a town in the Metropolitan Borough of Bury, Greater Manchester, England, three miles north of Manchester, three miles north of Salford and five miles south of Bury."""
Poland,Bartoszyce,36,Good,1,Good,36,Good,0,Good,22,Good,54.25,20.8,"""Bartoszyce is a town on the Łyna River in northern Poland, with 22,597 inhabitants as of December 2021. It is the capital of Bartoszyce County within the Warmian-Masurian Voivodeship."""
United States of America,Bethpage,61,Moderate,2,Good,38,Good,9,Good,61,Moderate,40.7495,-73.4856,"""No description provided"""
India,Bijni,126,Unhealthy for Sensitive Groups,4,Good,27,Good,6,Good,126,Unhealthy for Sensitive Groups,26.4959,90.703,"""Bijni is a town in Chirang district under the jurisdiction of Bodoland Territorial Council which controls the districts of the Bodoland Territorial Region in the state of Assam."""
Russian Federation,Borodino,44,Good,1,Good,28,Good,0,Good,44,Good,55.9056,94.8997,"""The Battle of Borodino or Battle of Moscow, in popular literature also known as the Battle of the Generals, took place on the outskirts of Moscow near the village of Borodino on 7 September 1812 during Napoleon's invasion of Russia. The Grande Armée fought and routed the Imperial Russian Army, albeit at a high cost. After the Battle of Smolensk was won by French and Polish forces, the road to Moscow lay open. Napoleon fought against General Mikhail Kutuzov, whom the Emperor Alexander I of Russia had appointed to replace Barclay de Tolly on 29 August 1812 after Smolensk was razed and captured by the French. After the Battle of Borodino, Napoleon remained on the battlefield with his army; the Imperial Russian forces retreated southwards. What followed was the French occupation of Moscow, while the retreating Russians resorted to scorched earth tactics on their own population to trap Napoleon and his men within their own largest city. The failure of the Grande Armée to completely destroy the Imperial Russian army, and in particular Napoleon's reluctance to deploy his Imperial Guard due to Napoleon's wishes to negotiate with Alexander to make him join against the British, has been widely criticised by historians as a large blunder, as it allowed the Imperial Russian army to continue its retreat into territory increasingly hostile to the French."""
United States of America,Bridgeport,54,Moderate,1,Good,39,Good,7,Good,54,Moderate,41.1918,-73.1954,"""Bridgeport is the most populous city in the U.S. state of Connecticut and the fifth-most populous city in New England, with a population of 148,654 in 2020. Located in eastern Fairfield County at the mouth of the Pequonnock River on Long Island Sound, it is a port city 60 miles (97 km) from Manhattan and 40 miles (64 km) from The Bronx. It borders the towns of Trumbull to the north, Fairfield to the west, and Stratford to the east. Bridgeport and other towns in Fairfield County make up the Greater Bridgeport Planning Region, as well as the Bridgeport–Stamford–Norwalk–Danbury metropolitan statistical area, the second largest metropolitan area in Connecticut. The Bridgeport–Stamford–Norwalk–Danbury metropolis forms part of the New York metropolitan area."""
Australia,Caboolture,24,Good,0,Good,21,Good,8,Good,24,Good,-27.0667,152.967,"""Caboolture is a town and suburb in the City of Moreton Bay, Queensland, Australia. It is located on the northern side of the Caboolture River. In the 2021 census, the suburb of Caboolture had a population of 29,534 people."""
Colombia,Cali,30,Good,1,Good,14,Good,1,Good,30,Good,3.4206,-76.5222,"""Santiago de Cali, or Cali, is the capital of the Valle del Cauca department, and the most populous city in southwest Colombia, with 2,280,522 residents estimate by DANE in 2023. The city spans 560.3 km2 (216.3 sq mi) with 120.9 km2 (46.7 sq mi) of urban area, making Cali the second-largest city in the country by area and the third most populous. As the only major Colombian city with access to the Pacific Coast, Cali is the main urban and economic center in the south of the country, and has one of Colombia's fastest-growing economies. The city was founded on 25 July 1536 by the Spanish explorer Sebastián de Belalcázar."""
United States of America,Campbellsville,41,Good,2,Good,36,Good,4,Good,41,Good,37.3445,-85.3511,"""Campbellsville is a city in central Kentucky founded in 1817 by Andrew Campbell. It is known for Campbellsville University, Taylor Regional Hospital health care system, its historic downtown, and the proximity to Green River Lake State Park. Campbellsville is the county seat of Taylor County which has a geographic boundary shaped like a heart. Campbellsville celebrated its bicentennial on July 4, 2017."""
France,Carcassonne,43,Good,1,Good,43,Good,0,Good,36,Good,43.21,2.35,"""Carcassonne is a French fortified city in the department of Aude, region of Occitania. It is the prefecture of the department."""
United Kingdom of Great Britain and Northern Ireland,Chapeltown,43,Good,1,Good,35,Good,1,Good,43,Good,53.462,-1.466,"""No description provided"""
United Republic of Tanzania,Chato,33,Good,1,Good,22,Good,0,Good,33,Good,-2.6378,31.7669,"""No description provided"""
Guatemala,Chisec,57,Moderate,1,Good,19,Good,0,Good,57,Moderate,15.8125,-90.3217,"""Chisec is a town and municipality in the north of the Guatemalan department of Alta Verapaz that was founded in 1813. It is situated at 230 metres (755 ft) above sea level. The municipality covers a territory of 1,244 km2."""
Cuba,Cienfuegos,43,Good,1,Good,31,Good,0,Good,43,Good,22.1456,-80.4364,"""Cienfuegos, capital of Cienfuegos Province, is a city on the southern coast of Cuba. It is located about 250 km (160 mi) from Havana and has a population of 178,368 in 2022. Since the late 1960s, Cienfuegos has become one of Cuba's main industrial centers, especially in the energy and sugar sectors. The city is dubbed La Perla del Sur. Despite being known as an industrial city of factories and various nuclear/electrical plants, and the name Cienfuegos literally translating to 'one hundred fires', the city actually takes its name from the surname of Asturian-born José Cienfuegos Jovellanos, Captain General of Cuba (1816–19)."""
New Zealand,Gisborne,27,Good,0,Good,27,Good,0,Good,7,Good,-38.6625,178.0178,"""No description provided"""
Brazil,Guararapes,58,Moderate,1,Good,24,Good,0,Good,58,Moderate,-21.2608,-50.6428,"""Guararapes is a municipality near Araçatuba in the state of São Paulo in Brazil. The population is 33,100 in an area of 956 km2. The elevation is 415 m. This place name comes from the Tupi language, meaning 'drums'."""
Russian Federation,Gudermes,60,Moderate,1,Good,45,Good,2,Good,60,Moderate,43.35,46.1,"""Gudermes is a town in the Chechen Republic, Russia, located on the Sunzha River 36 kilometers (22 mi) east of Grozny, the republic's capital. Population: 64,376 (2021 Census); 45,631 (2010 Census); 33,756 (2002 Census); 38,089 (1989 Soviet census); 32,000 (1970)."""
China,Hengshan,137,Unhealthy for Sensitive Groups,3,Good,29,Good,10,Good,137,Unhealthy for Sensitive Groups,24.71,121.1369,"""No description provided"""
United States of America,Hybla Valley,50,Good,1,Good,50,Good,1,Good,38,Good,38.7484,-77.0821,"""Hybla Valley is a census-designated place (CDP) in Fairfax County, Virginia, United States, south of Alexandria. The population was 15,801 at the 2010 census, down from 16,721 in 2000 due to a reduction in area, resulting from some of the eastward neighborhoods including much of Hollin Hills being moved to the Fort Hunt CDP. The population increased to 16,319 in the 2020 census."""
Turkmenistan,Kaka,123,Unhealthy for Sensitive Groups,1,Good,40,Good,0,Good,123,Unhealthy for Sensitive Groups,37.35,59.6,"""No description provided"""
United States of America,Keizer,53,Moderate,2,Good,21,Good,6,Good,53,Moderate,45.0028,-123.0243,"""No description provided"""
United States of America,Stuart,60,Moderate,1,Good,17,Good,10,Good,60,Moderate,27.1959,-80.2444,"""No description provided"""
Venezuela (Bolivarian Republic of),San Joaquin,63,Moderate,1,Good,14,Good,8,Good,63,Moderate,10.6,122.0833,"""No description provided"""
Italy,Santa Maria Capua Vetere,58,Moderate,1,Good,48,Good,3,Good,58,Moderate,41.0833,14.25,"""Santa Maria Capua Vetere is a town and comune in the province of Caserta, in the region of Campania, in southern Italy."""
Germany,Selb,66,Moderate,1,Good,41,Good,1,Good,66,Moderate,50.1667,12.1333,"""Selb is a town in the district of Wunsiedel, in Upper Franconia, Bavaria, Germany. It is situated in the Fichtel Mountains, on the border with the Czech Republic, 20 km northwest of Cheb and 23 km southeast of Hof."""
Brazil,Vilhena,33,Good,1,Good,1,Good,0,Good,33,Good,-12.7406,-60.1458,"""Vilhena is the easternmost municipality in the Brazilian state of Rondônia. Its population was 102,211 (IBGE-2020) and its area is 11,519 km2. It is the fifth-largest city in Rondônia and has the best HDI in the state. According to IBGE-2015, Vilhena also had a GDP of R$1.824.367,69(approximately US$460 million), which represented a GDP per capita of R$23.055,20"""
Germany,Waltershausen,54,Moderate,1,Good,36,Good,4,Good,54,Moderate,50.8975,10.5558,"""Waltershausen is a town in the south-western part of the district of Gotha in the state of Thuringia, Germany."""
United States of America,Washington,66,Moderate,2,Good,32,Good,7,Good,66,Moderate,38.9047,-77.0163,"""No description provided"""
Russian Federation,Kraskovo,57,Moderate,1,Good,21,Good,13,Good,57,Moderate,55.6586,37.9869,"""Kraskovo is the name of several inhabited localities in Russia.Urban localitiesKraskovo, Moscow Oblast, a suburban (dacha) settlement in Lyuberetsky District of Moscow OblastRural localitiesKraskovo, Ivanovo Oblast, a village in Gavrilovo-Posadsky District of Ivanovo Oblast Kraskovo, Kostroma Oblast, a village in Manturovsky District of Kostroma Oblast Kraskovo, name of several other rural localities"""
Ukraine,Kremenchuk,35,Good,1,Good,35,Good,1,Good,33,Good,49.0631,33.4039,"""Kremenchuk is an industrial city in central Ukraine which stands on the banks of the Dnieper River. The city serves as the administrative center of Kremenchuk Raion and Kremenchuk urban hromada within Poltava Oblast. Its population is approximately 215,271, ranking 31st in Ukraine. In 2001, the Ukrainian government included the city in the list of historical settlements."""
India,Krishnagiri,55,Moderate,0,Good,25,Good,0,Good,55,Moderate,12.5317,78.2174,"""Krishnagiri is a city in the state of Tamil Nadu, India, and it serves as the administrative headquarters of Krishnagiri District formed in 2004. It is located at the bottom of Krishnadevaraya Hills, and the town is fully surrounded by hill rocks. It is located 250 km from Chennai, 45 km from Dharmapuri, and 90 km from Bengaluru. Krishnagiri is known as 'Mango Capital of India' as mangoes are cultivated as the main crop, and the land here is extremely fertile with rich access to fresh water making it amenable to growing crops. Krishnagiri is the site of significant business and residential development. The Krishnagiri Dam was built in 1967."""
Guatemala,La Gomera,76,Moderate,3,Good,20,Good,8,Good,76,Moderate,14.0833,-91.05,"""La Gomera is one of Spain's Canary Islands, in the Atlantic Ocean off the coast of Africa. With an area of 370.03 km2 (142.87 sq mi), it is the third-smallest of the archipelago's eight main islands. It belongs to the province of Santa Cruz de Tenerife. La Gomera is the third least populous of the eight main Canary Islands, with 22,361 inhabitants at the start of 2023. Its capital is San Sebastián de La Gomera, where the cabildo insular is located."""
